Subject,Predicate,Object
Mary-Kate Olsen,Tätigkeit,Schauspieler
Estland,Mitglied von,NATO
Stanislao Cannizzaro,Arbeitsgebiet,Chemie
Peter Buck,Wohnsitz,Atlanta
Nikita Sergejewitsch Michalkow,Tätigkeit,Blogger
MC Hammer,Instrument,Stimme
Vereinigte Staaten,diplomatische Beziehung,Kasachstan
Mel Brooks,Tätigkeit,Filmproduzent
Suriname,Mitglied von,Karibische Entwicklungsbank
Ellie Goulding,beeinflusst von,Rihanna
John von Neumann,Mitglied von,National Academy of Sciences
Barry Manilow,Tätigkeit,Liedtexter
Eritrea,Mitglied von,Weltpostverein
Uruguay,diplomatische Beziehung,Südkorea
Bulgarien,diplomatische Beziehung,Russland
Südkorea,Mitglied von,Vereinte Nationen
Mika,Land der Staatsangehörigkeit,Vereinigtes Königreich
Ayọ,Genre,Soul
Vince Gill,Plattenlabel,RCA Records
Neil Diamond,Religionszugehörigkeit,Judentum
Barry Manilow,Tätigkeit,Komponist
Angelina Jolie,Tätigkeit,Schauspieler
Iwan Alexandrowitsch Gontscharow,Tätigkeit,Prosaist
Rick Wakeman,Tätigkeit,Fernsehmoderator
Lea Salonga,Tätigkeit,Schauspieler
John Mayer,Genre,Blues
Georgien,diplomatische Beziehung,El Salvador
Angélique Kidjo,gesprochene oder publizierte Sprachen,Englisch
Göttingen,Staat,Deutsches Kaiserreich
Neil Tennant,Tätigkeit,Songschreiber
Niger,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Paul Auster,Tätigkeit,Dichter
Mstislaw Wsewolodowitsch Keldysch,Parteizugehörigkeit,Kommunistische Partei der Sowjetunion
Keith Richards,Tätigkeit,Autobiograf
Indien,diplomatische Beziehung,Lesotho
"Tyler, the Creator",Tätigkeit,Geschäftsmann
Arthur C. Clarke,Tätigkeit,Science-Fiction-Schriftsteller
Miles Davis,Tätigkeit,Filmkomponist
Vereinigtes Königreich,diplomatische Beziehung,Bulgarien
Deutschland,diplomatische Beziehung,Usbekistan
Indien,diplomatische Beziehung,Myanmar
Lara Fabian,gesprochene oder publizierte Sprachen,Italienisch
Donald Glover,Tätigkeit,Musikproduzent
Uruguay,diplomatische Beziehung,Schweiz
Bob Hope,Tätigkeit,Schriftsteller
William Styron,beeinflusst von,Romain Gary
T. S. Eliot,beeinflusst von,Dante Alighieri
Ungarn,diplomatische Beziehung,Nordkorea
Griechenland,diplomatische Beziehung,Frankreich
Robert Downey junior,Tätigkeit,Sprecher
El Salvador,Mitglied von,UNESCO
Italien,Mitglied von,Nuclear Suppliers Group
Türkei,Mitglied von,Europarat
Algerien,Mitglied von,Arabischer Währungsfonds
Henry Wadsworth Longfellow,beeinflusst von,John Keats
Bertolt Brecht,Tätigkeit,Bühnenregisseur
Janel Parrish,Tätigkeit,Filmschauspieler
Jason Derulo,Genre,Rhythm and Blues
Jacob Grimm,Tätigkeit,Kinderbuchautor
Lion Feuchtwanger,besuchte Bildungseinrichtung,Ludwig-Maximilians-Universität München
Volksrepublik China,diplomatische Beziehung,Ecuador
D. H. Lawrence,Tätigkeit,Schriftsteller
Buckethead,Tätigkeit,Komponist
Charlie Chaplin,Tätigkeit,Filmschauspieler
Mohandas Karamchand Gandhi,Tätigkeit,Journalist
Jennifer Love Hewitt,Tätigkeit,Drehbuchautor
W. H. Auden,Tätigkeit,Drehbuchautor
Hannah Arendt,Arbeitgeber,Columbia University
Griechenland,Mitglied von,Schengen-Raum
Cee-Lo Green,Genre,Soul
Mosambik,Mitglied von,AKP-Gruppe
Ivor Novello,Land der Staatsangehörigkeit,Vereinigtes Königreich
Peter Debye,besuchte Bildungseinrichtung,Ludwig-Maximilians-Universität München
Brian Molko,Instrument,Saxophon
Kosovo,diplomatische Beziehung,Irland
Mauritius,diplomatische Beziehung,Südafrika
Weißrussland,diplomatische Beziehung,Malaysia
Henri Poincaré,Mitglied von,Sankt Petersburger Akademie der Wissenschaften
Theodore Roosevelt,Tätigkeit,Schriftsteller
Antonin Artaud,Land der Staatsangehörigkeit,Frankreich
Republik China,diplomatische Beziehung,Norwegen
Trent Reznor,Instrument,Bassgitarre
Saudi-Arabien,diplomatische Beziehung,Mexiko
Britney Spears,Tätigkeit,Geschäftsmann
Jean-Luc Godard,Land der Staatsangehörigkeit,Frankreich
Aserbaidschan,diplomatische Beziehung,Ukraine
Brasilien,diplomatische Beziehung,Guyana
Henry Rollins,Tätigkeit,Friedensaktivist
Hans Christian Ørsted,Mitglied von,American Academy of Arts and Sciences
Sarah McLachlan,Instrument,Stimme
Joyce Carol Oates,Tätigkeit,Hochschullehrer
Saudi-Arabien,diplomatische Beziehung,Kroatien
Guglielmo Marconi,Todesursache,Herzinfarkt
Rumänien,diplomatische Beziehung,Russland
Kolumbien,diplomatische Beziehung,Ecuador
Slowenien,Mitglied von,OECD
Jolin Tsai,Tätigkeit,Geschäftsmann
Isaac Asimov,Tätigkeit,Romancier
Eric Idle,Tätigkeit,Filmregisseur
Yo-Yo Ma,Land der Staatsangehörigkeit,Frankreich
Friedrich Wilhelm Joseph Schelling,gesprochene oder publizierte Sprachen,Deutsch
Eswatini,Amtssprache,Englisch
Michael Penn,Ehepartner(in),Aimee Mann
Ray Charles,Bevölkerungsgruppe,Afroamerikaner
James Clerk Maxwell,Tätigkeit,Erfinder
Katy Perry,Instrument,Gitarre
Pjotr Alexejewitsch Kropotkin,gesprochene oder publizierte Sprachen,Russisch
David Lindley,Plattenlabel,Atlantic Records
Saul Bellow,Religionszugehörigkeit,Judentum
Abraham Gotthelf Kästner,Geburtsort,Leipzig
Ján Kollár,Tätigkeit,Hochschullehrer
Kuwait,diplomatische Beziehung,Republik China
Victoria Beckham,Tätigkeit,Unternehmer
Heinrich Heine,Tätigkeit,Dichter
Theo van Gogh,Tätigkeit,Filmschauspieler
RCA Records,Staat,Vereinigte Staaten
Robin Williams,Land der Staatsangehörigkeit,Vereinigte Staaten
Marokko,diplomatische Beziehung,Frankreich
Michael Nesmith,Tätigkeit,Musiker
Denis Johnson,Tätigkeit,Kurzgeschichtenautor
Enzo Jannacci,Tätigkeit,Pianist
Andrei Gubin,Instrument,Klavier
Swizz Beatz,Genre,Hip-Hop
Jemen,diplomatische Beziehung,Deutschland
George Porter,Mitglied von,Russische Akademie der Wissenschaften
Ezra Pound,Land der Staatsangehörigkeit,Vereinigte Staaten
Howard Hughes,Land der Staatsangehörigkeit,Vereinigte Staaten
Russland,diplomatische Beziehung,Republik China
Barbados,Mitglied von,Internationale Fernmeldeunion
Julie Tippetts,Land der Staatsangehörigkeit,Vereinigtes Königreich
Oman,diplomatische Beziehung,Saudi-Arabien
Leon Theremin,gesprochene oder publizierte Sprachen,Russisch
Irland,diplomatische Beziehung,Pakistan
Dschibuti,Mitglied von,Welthandelsorganisation
Marietta Sergejewna Schaginjan,Land der Staatsangehörigkeit,Russisches Kaiserreich
Jerry Reed,Tätigkeit,Sänger
Amiri Baraka,Bevölkerungsgruppe,Afroamerikaner
Serge Gainsbourg,Todesursache,Herzinfarkt
Marcel Proust,Tätigkeit,Romancier
Jodie Foster,Tätigkeit,Schauspieler
Ungarn,diplomatische Beziehung,Bolivien
Max Reger,Instrument,Klavier
Deutschland,diplomatische Beziehung,Republik Moldau
Whitney Houston,Genre,Popmusik
George Ellery Hale,Mitglied von,Accademia Nazionale delle Scienze
Dominica,Mitglied von,UNESCO
Ray Bradbury,Land der Staatsangehörigkeit,Vereinigte Staaten
George Ellery Hale,Mitglied von,American Academy of Arts and Sciences
Kenia,diplomatische Beziehung,Ruanda
John Herschel,Mitglied von,Preußische Akademie der Wissenschaften
Peter Drucker,Tätigkeit,Rechtsanwalt
John Turturro,Tätigkeit,Drehbuchautor
Beatriz Luengo,Genre,Soul
Rob Reiner,Tätigkeit,Blogger
Sean Lennon,besuchte Bildungseinrichtung,Columbia University
Thomas Hobbes,gesprochene oder publizierte Sprachen,Latein
Michael Jackson,Plattenlabel,Sony Music
Lana Del Rey,Instrument,Stimme
Melissa Auf der Maur,Tätigkeit,Fotograf
Kanada,diplomatische Beziehung,Türkei
Ernst Troeltsch,Arbeitgeber,Humboldt-Universität zu Berlin
Iwan Antonowitsch Jefremow,Tätigkeit,Prosaist
James Brown,Tätigkeit,Gitarrist
Uruguay,Mitglied von,UNESCO
Bobby Brown,Geburtsort,Boston
Busta Rhymes,Plattenlabel,Elektra Records
Kevin Spacey,Tätigkeit,Schauspieler
Gilles Deleuze,Tätigkeit,Historiker
Brasilien,Mitglied von,Interpol
Tony Visconti,Genre,Pop-Rock
Selena Gomez,Genre,Pop-Rock
Ungarn,diplomatische Beziehung,Mexiko
Emanuel Swedenborg,Tätigkeit,Philosoph
Leopold von Ranke,Tätigkeit,Hochschullehrer
Jason Mraz,Tätigkeit,Singer-Songwriter
Dänemark,diplomatische Beziehung,Äthiopien
Senegal,Mitglied von,AKP-Gruppe
Malawi,Mitglied von,Afrikanische Entwicklungsbank
Ernst Troeltsch,Mitglied von,Preußische Akademie der Wissenschaften
Steve Allen,Land der Staatsangehörigkeit,Vereinigte Staaten
Philip Roth,beeinflusst von,Mark Twain
Philippinen,diplomatische Beziehung,Republik China
Japan,Mitglied von,Internationale Finanz-Corporation
George Orwell,beeinflusst von,Charles Dickens
John Farnham,Instrument,Klavier
Südkorea,Mitglied von,Welthandelsorganisation
Sri Lanka,Mitglied von,Organisation für das Verbot chemischer Waffen
Republik China,diplomatische Beziehung,Botswana
Thomas Carlyle,Tätigkeit,Historiker
Cyndi Lauper,Tätigkeit,Bühnenschauspieler
Alexander von Humboldt,Mitglied von,American Philosophical Society
Vereinigte Staaten,diplomatische Beziehung,Mikronesien
Franz Liszt,Todesursache,Lungenentzündung
Adriano Celentano,Genre,Rock ’n’ Roll
Ruanda,diplomatische Beziehung,Vereinigte Staaten
Kurt Vonnegut,Arbeitgeber,Harvard University
Curtis Mayfield,Tätigkeit,Komponist
Spike Lee,Bevölkerungsgruppe,Afroamerikaner
Fredric Jameson,beeinflusst von,Georg Wilhelm Friedrich Hegel
Philip Roth,Land der Staatsangehörigkeit,Vereinigte Staaten
Darius Milhaud,Tätigkeit,Filmkomponist
Colbie Caillat,Instrument,Stimme
Miles Davis,Tätigkeit,Songschreiber
Robert Frost,Mitglied von,American Academy of Arts and Sciences
W. E. B. Du Bois,Tätigkeit,Dichter
Dänemark,Mitglied von,UNESCO
Jerry Reed,Tätigkeit,Singer-Songwriter
Peter Drucker,Mitglied von,American Academy of Arts and Sciences
Singapur,Mitglied von,Internationale Finanz-Corporation
La Toya Jackson,Geschwister,Rebbie Jackson
Max Born,Tätigkeit,Wissenschaftler
Jorge Luis Borges,gesprochene oder publizierte Sprachen,Englisch
Angelina Jolie,Religionszugehörigkeit,Christentum
David A. Stewart,Instrument,Gitarre
Australien,Mitglied von,Asiatische Entwicklungsbank
Günter Grass,gesprochene oder publizierte Sprachen,Deutsch
Boris Vian,Tätigkeit,Schriftsteller
Che Guevara,Tätigkeit,Schriftsteller
Zooey Deschanel,Religionszugehörigkeit,Judentum
Budapest,Staat,Ungarn
Tschingis Aitmatow,Todesursache,Lungenentzündung
Justin Bieber,Plattenlabel,Def Jam Recordings
Ray Charles,Genre,Jazz
Karl Valentin,Tätigkeit,Drehbuchautor
Lewis Carroll,gesprochene oder publizierte Sprachen,Englisch
Alexander Iwanowitsch Herzen,Land der Staatsangehörigkeit,Russisches Kaiserreich
Vietnam,diplomatische Beziehung,Venezuela
Meat Loaf,Tätigkeit,Musiker
William Butler Yeats,Tätigkeit,Schriftsteller
Namibia,diplomatische Beziehung,Finnland
Joseph Louis Gay-Lussac,Begräbnisort,Père-Lachaise
Marokko,diplomatische Beziehung,Vereinigtes Königreich
Karl Popper,Tätigkeit,Soziologe
Marilyn Manson,Tätigkeit,Maler
Panama,Mitglied von,Interpol
Russland,diplomatische Beziehung,Vanuatu
Donny Osmond,Tätigkeit,Musikproduzent
Kuba,diplomatische Beziehung,Volksrepublik China
Honduras,diplomatische Beziehung,Australien
Belize,Mitglied von,Organisation Amerikanischer Staaten
Courtney Love,Tätigkeit,Gitarrist
Avicii,gesprochene oder publizierte Sprachen,Englisch
Benedetto Croce,beeinflusst von,Karl Marx
Leonard Nimoy,Tätigkeit,Musiker
Snoop Dogg,Bevölkerungsgruppe,Afroamerikaner
Wolfgang Schadewaldt,Arbeitgeber,Humboldt-Universität zu Berlin
Ne-Yo,Tätigkeit,Fernsehschauspieler
Griechenland,Mitglied von,Europäische Union
RZA,Tätigkeit,Musiker
Theo van Gogh,Tätigkeit,Fernsehproduzent
Philip Roth,beeinflusst von,Günter Grass
Russland,Mitglied von,Missile Technology Control Regime
Richard Wright,Tätigkeit,Singer-Songwriter
Immanuel Kant,Tätigkeit,Schriftsteller
Goldie Hawn,Tätigkeit,Musiker
Spanien,diplomatische Beziehung,Neuseeland
Botswana,diplomatische Beziehung,Russland
Gabun,Mitglied von,Afrikanische Union
Sean Combs,Tätigkeit,Fernsehschauspieler
Hulk Hogan,Tätigkeit,Musikproduzent
Mali,Mitglied von,Internationale Fernmeldeunion
MC Hammer,Parteizugehörigkeit,Demokratische Partei
Dr. Dre,Tätigkeit,Komponist
Kate Bush,Instrument,Gitarre
Estland,diplomatische Beziehung,Dänemark
Jewgeni Iwanowitsch Samjatin,Tätigkeit,Ingenieur
Kap Verde,diplomatische Beziehung,Vereinigte Staaten
Libyen,Amtssprache,Arabisch
Taylor Swift,Instrument,Banjo
Walter Scott,Tätigkeit,Linguist
Laos,Mitglied von,Interpol
Joss Whedon,Tätigkeit,Regisseur
Alfred Schnittke,Tätigkeit,Musikpädagoge
Peter II.,gesprochene oder publizierte Sprachen,Italienisch
André Gide,Tätigkeit,Übersetzer
Jean-Luc Godard,Tätigkeit,Filmproduzent
Singapur,Mitglied von,Organisation für das Verbot chemischer Waffen
Malaysia,diplomatische Beziehung,Niederlande
Mexiko,diplomatische Beziehung,Vereinigte Staaten
Richard Dawkins,Tätigkeit,Zoologe
Sudan,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Vereinigte Staaten,Mitglied von,Internationale Finanz-Corporation
Peter Tork,Tätigkeit,Drehbuchautor
Leonard Cohen,Bevölkerungsgruppe,Juden
Japan,Mitglied von,Australische Gruppe
Mexiko,diplomatische Beziehung,Vereinigte Arabische Emirate
Lettland,diplomatische Beziehung,Republik China
Australien,diplomatische Beziehung,Honduras
Ivor Novello,Instrument,Stimme
Mylène Farmer,Arbeitsgebiet,Musikkomposition
Amr Diab,Tätigkeit,Sänger
Britney Spears,Lebenspartner/-in,Justin Timberlake
Enrique Iglesias,Plattenlabel,Interscope Records
Ruslana Lyschytschko,Instrument,Gitarre
Michel de Montaigne,gesprochene oder publizierte Sprachen,Latein
Prince,Tätigkeit,Filmschauspieler
Philip Roth,Religionszugehörigkeit,Atheismus
Carrie Underwood,Genre,Country-Musik
Adolf Butenandt,Arbeitgeber,Humboldt-Universität zu Berlin
George Carlin,Tätigkeit,Filmproduzent
Thailand,diplomatische Beziehung,Dänemark
Pakistan,Mitglied von,Weltpostverein
La Toya Jackson,Geschwister,Janet Jackson
Ľudovít Štúr,gesprochene oder publizierte Sprachen,Ungarisch
Alicia Keys,Ehepartner(in),Swizz Beatz
Deutschland,Mitglied von,Asiatische Entwicklungsbank
Iran,diplomatische Beziehung,Afghanistan
Miley Cyrus,gesprochene oder publizierte Sprachen,Englisch
Henri Becquerel,Mitglied von,Accademia Nazionale dei Lincei
Lion Feuchtwanger,Tätigkeit,Dramatiker
Zdeněk Nejedlý,Tätigkeit,Musikpädagoge
Deutschland,diplomatische Beziehung,Jordanien
Sara Bareilles,Instrument,Klavier
George Sand,Religionszugehörigkeit,Katholizismus
Malawi,Mitglied von,Organisation für das Verbot chemischer Waffen
Serbien,diplomatische Beziehung,Saudi-Arabien
Kevin Jonas,Tätigkeit,Pianist
Jegor Letow,Genre,Rockmusik
Ilja Arnoldowitsch Ilf,Todesursache,Tuberkulose
Republik China,diplomatische Beziehung,Nordmazedonien
Sarah Brightman,Instrument,Klavier
Max Born,Tätigkeit,Physiker
Luxemburg,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Philippinen,diplomatische Beziehung,Papua-Neuguinea
Wallace Shawn,Tätigkeit,Dramatiker
Deutschland,diplomatische Beziehung,Marshallinseln
Kenneth Burke,Arbeitsgebiet,Philosophie
Henry Rollins,Tätigkeit,Drehbuchautor
Republik China,diplomatische Beziehung,Salomonen
Marcel Proust,Tätigkeit,Literaturkritiker
Ungarn,diplomatische Beziehung,Australien
Randy Newman,gesprochene oder publizierte Sprachen,Englisch
La Toya Jackson,Plattenlabel,RCA Records
LeToya Luckett,Tätigkeit,Filmschauspieler
Gene Simmons,Tätigkeit,Komponist
Ralph Vaughan Williams,Genre,Oper
Galileo Galilei,Mitglied von,Accademia Nazionale dei Lincei
Karl Popper,Mitglied von,National Academy of Sciences
Kiely Williams,Tätigkeit,Songschreiber
James Clerk Maxwell,Sterbeort,Cambridge
David Hemmings,Tätigkeit,Bühnenschauspieler
Charles Baudelaire,Arbeitsgebiet,Poesie
Weird Al Yankovic,Tätigkeit,Musiker
Woody Allen,Tätigkeit,Journalist
Republik China,diplomatische Beziehung,Japan
J. J. Abrams,Tätigkeit,Fernsehregisseur
James Belushi,Instrument,Stimme
Victoria Beckham,Tätigkeit,Sänger
Jason Newsted,Tätigkeit,Produzent
Joe Satriani,Genre,Rockmusik
Edmund Wilson,gesprochene oder publizierte Sprachen,Englisch
Ungarn,diplomatische Beziehung,Spanien
Tansania,diplomatische Beziehung,Bangladesch
Igor Strawinsky,gesprochene oder publizierte Sprachen,Russisch
Mosambik,Mitglied von,Internationale Entwicklungsorganisation
Eduard Suess,Geburtsort,London
Oman,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Yoshiki Hayashi,Tätigkeit,Liedtexter
Michelle Williams,Tätigkeit,Sänger
Deborah Harry,Tätigkeit,Komponist
Giovanni Schiaparelli,Mitglied von,Königlich Schwedische Akademie der Wissenschaften
James Bryant Conant,Arbeitsgebiet,Chemie
Polen,Mitglied von,Vereinte Nationen
Leonard Cohen,gesprochene oder publizierte Sprachen,Englisch
Vereinigte Staaten,diplomatische Beziehung,Äquatorialguinea
Bahrain,diplomatische Beziehung,Georgien
Mike Shinoda,Instrument,Orgel
Demi Lovato,Lebenspartner/-in,Joe Jonas
Marokko,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Litauen,diplomatische Beziehung,Kosovo
Bertrand Russell,Arbeitgeber,Harvard University
Japan,Mitglied von,Weltpostverein
Vietnam,Mitglied von,Vereinte Nationen
Mary Wollstonecraft,Tätigkeit,Essayist
Omar Sharif,gesprochene oder publizierte Sprachen,Spanisch
Carly Simon,Plattenlabel,Arista Records
Colm Tóibín,Tätigkeit,Kurzgeschichtenautor
Paula Abdul,Lebenspartner/-in,Jackie Jackson
Deutschland,Mitglied von,Nuclear Suppliers Group
Nicaragua,Mitglied von,Vereinte Nationen
Mauretanien,diplomatische Beziehung,Russland
Charles Wheatstone,Tätigkeit,Mathematiker
Niederlande,Mitglied von,International Hydrographic Organization
Shel Silverstein,Tätigkeit,Songschreiber
Georg Friedrich Händel,beeinflusst von,Frankreich
Avery Brooks,Tätigkeit,Bühnenregisseur
Lena Horne,Plattenlabel,RCA Records
Brasilien,Staat,portugiesisches Kolonialreich
Kelly Rowland,Tätigkeit,Komponist
Slavoj Žižek,Tätigkeit,Philosoph
Emilie Autumn,Instrument,Violine
Penny Marshall,Instrument,Stimme
Henri Poincaré,Tätigkeit,Physiker
Anatoli Wassiljewitsch Lunatscharski,Tätigkeit,Philosoph
Heinrich Heine,beeinflusst von,Johann Wolfgang von Goethe
Peru,Mitglied von,UNESCO
Sergei Wjatscheslawowitsch Lasarew,Plattenlabel,Universal Music Group
Henri Bergson,beeinflusst von,Søren Kierkegaard
Khloé Kardashian,Wohnsitz,Los Angeles
Tina Arena,Tätigkeit,Pianist
Dino Buzzati,gesprochene oder publizierte Sprachen,Italienisch
Bolivien,Mitglied von,Organismo para la Proscripción de las Armas Nucleares en la América Latina y el Caribe
Etta James,gesprochene oder publizierte Sprachen,Englisch
Romain Gary,gesprochene oder publizierte Sprachen,Englisch
Shaquille O’Neal,Tätigkeit,Filmschauspieler
John Lennon,Genre,Rockmusik
Uganda,Mitglied von,Afrikanische Entwicklungsbank
Edmund White,Mitglied von,American Academy of Arts and Sciences
Henry David Thoreau,Tätigkeit,Autor
Bill Monroe,Todesursache,Schlaganfall
Russland,diplomatische Beziehung,Nauru
Georg Friedrich Händel,Land der Staatsangehörigkeit,Königreich Großbritannien
Ed Sheeran,Genre,Popmusik
Dino Buzzati,Tätigkeit,Maler
Phil Harris,Tätigkeit,Schauspieler
Charles Bukowski,Tätigkeit,Schauspieler
St. Vincent und die Grenadinen,Staatsoberhaupt,Elisabeth II.
Andy Griffith,Tätigkeit,Lehrer
Oprah Winfrey,gesprochene oder publizierte Sprachen,Englisch
Michel de Montaigne,Arbeitsgebiet,Philosophie
Amerie,Tätigkeit,Singer-Songwriter
Milva,Genre,Popmusik
Mongolei,Mitglied von,Welthandelsorganisation
Paul Reiser,Tätigkeit,Fernsehschauspieler
Ed Sheeran,gesprochene oder publizierte Sprachen,Englisch
Eminem,Tätigkeit,Musikproduzent
Fidschi,Mitglied von,Internationale Fernmeldeunion
Kurt Weill,Land der Staatsangehörigkeit,Deutschland
Hanns Eisler,Land der Staatsangehörigkeit,Weimarer Republik
Nicole Scherzinger,Plattenlabel,Interscope Records
Amr Diab,Tätigkeit,Komponist
Andy Griffith,Tätigkeit,Schauspieler
Danny Glover,Tätigkeit,Friedensaktivist
Henri Poincaré,Wohnsitz,Frankreich
Slowakei,diplomatische Beziehung,Bangladesch
Harry Connick junior,Tätigkeit,Filmschauspieler
Somalia,diplomatische Beziehung,Jemen
Igor Strawinsky,Land der Staatsangehörigkeit,Russisches Kaiserreich
Per Olov Enquist,Tätigkeit,Übersetzer
M.I.A.,Tätigkeit,Model
Meaghan Jette Martin,Tätigkeit,Sänger
Margaret Atwood,Tätigkeit,Science-Fiction-Schriftsteller
Richard Sennett,Mitglied von,Academia Europaea
John Cleese,Tätigkeit,Autobiograf
Italo Calvino,beeinflusst von,Robert Louis Stevenson
John Updike,gesprochene oder publizierte Sprachen,Englisch
Polen,diplomatische Beziehung,Brasilien
Johann Wolfgang von Goethe,Tätigkeit,Schriftsteller
Macy Gray,Tätigkeit,Musiker
Idina Menzel,Tätigkeit,Musiker
Gerald Wilson,Todesursache,Lungenentzündung
John Mayer,Tätigkeit,Gitarrist
Jaroslav Vrchlický,gesprochene oder publizierte Sprachen,Polnisch
Tunesien,Mitglied von,
Aserbaidschan,diplomatische Beziehung,Armenien
The Edge,gesprochene oder publizierte Sprachen,Englisch
Sven Hedin,besuchte Bildungseinrichtung,Humboldt-Universität zu Berlin
Sidney Poitier,Tätigkeit,Schriftsteller
Norwegen,Mitglied von,Missile Technology Control Regime
Paraguay,Mitglied von,Internationale Fernmeldeunion
Claudio Magris,Tätigkeit,Drehbuchautor
Shakira,Genre,Folk
Bill Haley,Tätigkeit,Schauspieler
Jerry Lee Lewis,Tätigkeit,Pianist
Italien,Mitglied von,UNESCO
Argentinien,Mitglied von,International Hydrographic Organization
John Dos Passos,Tätigkeit,Dichter
Selena Gomez,Tätigkeit,Model
Mel Gibson,Tätigkeit,Schriftsteller
Dave Matthews,Tätigkeit,Musikproduzent
Victor Hugo,gesprochene oder publizierte Sprachen,Französisch
Iran,diplomatische Beziehung,Südkorea
Vereinigtes Königreich,diplomatische Beziehung,Kanada
Paul Hindemith,Tätigkeit,Komponist
Alfred Schnittke,Land der Staatsangehörigkeit,Deutschland
George Santayana,Tätigkeit,Schriftsteller
Mexiko,Mitglied von,Weltpostverein
Monica,Genre,Hip-Hop
Lew Nikolajewitsch Tolstoi,beeinflusst von,Jean-Jacques Rousseau
Niederlande,diplomatische Beziehung,Albanien
Georg Friedrich Händel,gesprochene oder publizierte Sprachen,Englisch
Sheryl Crow,Genre,Rockmusik
John Travolta,Tätigkeit,Tänzer
Dmitri Alexejewitsch Gluchowski,gesprochene oder publizierte Sprachen,Französisch
Gene Kelly,Tätigkeit,Filmschauspieler
Amos Oz,Tätigkeit,Romancier
Friedrich Wilhelm Joseph Schelling,beeinflusst von,Immanuel Kant
Steven Weinberg,besuchte Bildungseinrichtung,Cornell University
Lena Horne,Tätigkeit,Fernsehschauspieler
Laurie Anderson,Tätigkeit,Sänger
Michael Jackson,Geschwister,Tito Jackson
Dolly Parton,Plattenlabel,Decca Records
František Palacký,Tätigkeit,Philosoph
Hermann Burmeister,Tätigkeit,Botaniker
Neil Young,Genre,Country-Musik
Litauen,diplomatische Beziehung,Israel
Vereinigte Arabische Emirate,Mitglied von,UNESCO
Nigeria,diplomatische Beziehung,Bangladesch
Dudley Moore,Instrument,Orgel
Sean Penn,Tätigkeit,Schauspieler
Ludvig Holberg,Tätigkeit,Historiker
Nordkorea,diplomatische Beziehung,Zentralafrikanische Republik
Noël Coward,Todesursache,Herzinfarkt
Henri Victor Regnault,Tätigkeit,Fotograf
Irak,diplomatische Beziehung,Bangladesch
Sri Lanka,diplomatische Beziehung,Volksrepublik China
Richard Wright,Tätigkeit,Musiker
Gambia,Mitglied von,Internationale Entwicklungsorganisation
Geddy Lee,Instrument,Klavier
Martin Sheen,Genre,Western
Nicaragua,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Hugo Grotius,Tätigkeit,Diplomat
Sonny Bono,Ehepartner(in),Cher
Ecuador,Mitglied von,Organisation Amerikanischer Staaten
Norman Wisdom,Tätigkeit,Komiker
Serge Gainsbourg,Plattenlabel,Mercury Records
Max Born,Mitglied von,Royal Society
Wladislaw Petrowitsch Krapiwin,Tätigkeit,Dichter
Harold Bloom,Mitglied von,American Academy of Arts and Sciences
Bill Cosby,Tätigkeit,Filmschauspieler
Österreich,Mitglied von,Interpol
Enzo Jannacci,gesprochene oder publizierte Sprachen,Italienisch
Claude Lévi-Strauss,Mitglied von,American Philosophical Society
Sofja Wassiljewna Kowalewskaja,Tätigkeit,Schriftsteller
Eduard Weniaminowitsch Limonow,Genre,Roman
Ernst Troeltsch,Sterbeort,Berlin
Ernst Troeltsch,gesprochene oder publizierte Sprachen,Deutsch
Ilja Lwowitsch Oleinikow,Todesursache,Bronchialkarzinom
Yoko Ono,Genre,elektronische Musik
Waylon Jennings,Instrument,Gitarre
Niederlande,diplomatische Beziehung,Kosovo
Carlo Rubbia,Arbeitsgebiet,Physik
Haruki Murakami,beeinflusst von,Honoré de Balzac
Frank Zappa,Genre,Rockmusik
Syrien,Amtssprache,Arabisch
Judd Apatow,Land der Staatsangehörigkeit,Vereinigte Staaten
Australien,diplomatische Beziehung,Dänemark
Benjamin Franklin,Mitglied von,Royal Society
Usbekistan,Mitglied von,UNESCO
Akon,Tätigkeit,Fernsehproduzent
Tyrese,Land der Staatsangehörigkeit,Vereinigte Staaten
Indien,diplomatische Beziehung,Brasilien
Griechenland,diplomatische Beziehung,Republik China
El Salvador,diplomatische Beziehung,Chile
Peter Debye,Land der Staatsangehörigkeit,Königreich der Niederlande
Iran,diplomatische Beziehung,Ecuador
Neil Gaiman,Ehepartner(in),Amanda Palmer
François Arago,Mitglied von,Accademia delle Scienze Turin
Brasilien,Mitglied von,
Augusto Righi,Tätigkeit,Professor
Lenny Kravitz,Tätigkeit,Sänger
Augustin-Louis Cauchy,Tätigkeit,Physiker
La Toya Jackson,Arbeitsgebiet,Musikkomposition
James Bryant Conant,Mitglied von,Royal Society
Lemmy Kilmister,Tätigkeit,Musikproduzent
Henry Le Chatelier,besuchte Bildungseinrichtung,Universität von Paris
